episode,total_reward,episode_length,epsilon,avg_loss,final_risk,risk_reduction,training_time,steps_per_second,avg_reward_10,avg_reward_100
0,29690.0,365,1.0,7212.626985652718,13.5,10.5,0.6461005210876465,0,0,0
1,34443.0,365,0.995,18919.311131140304,13.5,10.5,1.4514365196228027,453.2269768940004,0,0
2,45400.0,365,0.990025,11234.94702783872,10.5,16.5,2.2697598934173584,446.033941701432,0,0
3,44552.0,365,0.985074875,11556.173737826413,4.5,13.5,2.9880001544952393,508.1864938234394,0,0
4,30662.0,365,0.980149500625,13626.273211084654,16.5,10.5,3.691812038421631,518.6044855675862,0,0
5,42985.0,365,0.975248753121875,17934.023023464255,13.5,15.0,4.459300756454468,475.5770233802753,0,0
6,26926.0,365,0.9703725093562656,19287.227321008133,4.5,9.0,5.173464298248291,511.08741715265876,0,0
7,29651.0,365,0.9655206468094842,34642.62429901541,15.0,10.5,5.898512125015259,503.41506659989193,0,0
8,45838.0,365,0.9606930435754368,28905.968130953017,4.5,15.0,6.617732524871826,507.4939477144853,0,0
9,36882.0,365,0.9558895783575596,44858.322243552015,21.0,12.0,7.326306343078613,515.1192305181673,0,0
10,37757.0,365,0.9511101304657719,39553.06985498716,13.5,12.0,8.047156572341919,506.34651302396423,0,0
11,49699.0,365,0.946354579813443,70589.87951559825,7.5,16.5,8.781375169754028,497.1271516228419,0,0
12,36518.0,365,0.9416228069143757,92890.04737264555,10.5,13.5,9.504634618759155,504.65984302323665,0,0
13,26364.0,365,0.9369146928798039,88519.12771932523,18.0,9.0,10.24234938621521,494.77117186995025,0,0
14,48854.0,365,0.9322301194154049,110810.4086526113,13.5,13.5,10.986679077148438,490.3740969171462,0,0
15,30614.0,365,0.9275689688183278,133923.90807637255,10.5,10.5,11.712215662002563,503.07594078579194,0,0
16,34891.0,365,0.9229311239742362,159178.67199539812,4.5,10.5,12.422861337661743,513.6174221582842,0,0
17,37690.0,365,0.918316468354365,142484.1903504254,10.5,13.5,13.161660194396973,494.04516083436306,0,0
18,27849.0,365,0.9137248860125932,164367.14764487906,10.5,9.0,13.908516645431519,488.7150663215158,0,0
19,33623.0,365,0.9091562615825302,198015.23588766856,13.5,15.0,14.653037309646606,490.24831350356385,0,0
20,29675.0,365,0.9046104802746175,200424.2641929313,7.5,12.0,15.395366907119751,491.6953348518543,0,0
21,37251.0,365,0.9000874278732445,226333.73746655608,13.5,13.5,16.140968561172485,489.5375406103707,0,0
22,29467.0,365,0.8955869907338783,283748.1150888939,12.0,12.0,16.87908101081848,494.5045977412474,0,0
23,29675.0,365,0.8911090557802088,226788.72723806722,4.5,9.0,17.59230089187622,511.7636365642073,0,0
24,22520.0,365,0.8866535105013078,333752.84357742936,21.0,7.5,18.34216570854187,486.754401443996,0,0
25,37478.0,365,0.8822202429488012,337076.2522822132,4.5,13.5,19.093064546585083,486.084118802425,0,0
26,33517.0,365,0.8778091417340572,315326.99733585725,18.0,10.5,19.840467929840088,488.35743612825803,0,0
27,26413.0,365,0.873420096025387,377860.0316065122,21.0,9.0,20.595146656036377,483.64951512501614,0,0
28,24488.0,365,0.86905299554526,505047.53842238337,22.5,9.0,21.340062141418457,489.98847139388596,0,0
29,34975.0,365,0.8647077305675337,610684.2407179741,4.5,12.0,22.075769424438477,496.1212270479425,0,0
30,33234.0,365,0.8603841919146961,496551.6368578767,13.5,12.0,22.829155683517456,484.47923704663174,0,0
31,30692.0,365,0.8560822709551226,397016.57919386774,4.5,13.5,23.580936193466187,485.51404987193945,0,0
32,35725.0,365,0.8518018596003469,465013.57301008666,13.5,13.5,24.32686758041382,489.32114452723096,0,0
33,34380.0,365,0.8475428503023452,472288.58637227095,15.0,12.0,25.072814464569092,489.3109787747609,0,0
34,44595.0,365,0.8433051360508335,653584.3174677601,10.5,13.5,25.818591117858887,489.4226688243723,0,0
35,44825.0,365,0.8390886103705792,413501.23216301907,10.5,15.0,26.573737621307373,483.34991731164007,0,0
36,26663.0,365,0.8348931673187264,636519.6714154806,15.0,10.5,27.306442975997925,498.1538590695203,0,0
37,37010.0,365,0.8307187014821328,839611.4839656464,10.5,12.0,28.053842306137085,488.36008447055974,0,0
38,38128.0,365,0.826565107974722,655106.8876906304,21.0,12.0,28.82744312286377,471.81956392498944,0,0
39,22412.0,365,0.8224322824348484,569076.5141655073,18.0,9.0,29.579342126846313,485.43753624718704,0,0
40,40724.0,365,0.8183201210226743,1008361.9612866546,7.5,13.5,30.339956760406494,479.87506931277153,0,0
41,29720.0,365,0.8142285204175609,831803.9437078607,7.5,10.5,31.094544172286987,483.70804263801637,0,0
42,24124.0,365,0.810157377815473,907777.5574686965,7.5,7.5,31.866358757019043,472.9115090857138,0,0
43,36688.0,365,0.8061065909263957,1266947.244783417,13.5,12.0,32.6525616645813,464.25674147115427,0,0
44,23446.0,365,0.8020760579717637,956512.5546961954,10.5,4.5,33.407798290252686,483.2922392707372,0,0
45,48659.0,365,0.7980656776819048,1091136.2144785423,10.5,16.5,34.17126274108887,478.0838185723449,0,0
46,33787.0,365,0.7940753492934953,1021817.9646557951,9.0,10.5,34.93471097946167,478.093971083034,0,0
47,36136.0,365,0.7901049725470278,1025534.8915126016,4.5,10.5,35.68312859535217,487.69562908498034,0,0
48,19297.0,365,0.7861544476842928,1115527.2585342198,7.5,9.0,36.43218183517456,487.28178531948845,0,0
49,35905.0,365,0.7822236754458712,1111990.648955212,10.5,10.5,37.19502806663513,478.47126320747316,0,0
50,34226.0,365,0.7783125570686419,1077656.6220535906,12.0,13.5,37.9498655796051,483.54777515478435,0,0
51,35108.0,365,0.7744209942832987,1089949.2561436484,18.0,10.5,38.72265553474426,472.3146277623039,0,0
52,37959.0,365,0.7705488893118821,971000.5895601455,18.0,15.0,39.50872874259949,464.3333424324316,0,0
53,33976.0,365,0.7666961448653228,855721.8909681346,15.0,12.0,40.278653383255005,474.072371146918,0,0
54,20000.0,365,0.7628626641409961,1416899.600214041,21.0,9.0,41.04109525680542,478.72501847298537,0,0
55,34845.0,365,0.7590483508202912,1083134.560822453,4.5,12.0,41.79607629776001,483.4558488230353,0,0
56,30876.0,365,0.7552531090661897,1062258.4363702643,7.5,10.5,42.5492377281189,484.62386055280996,0,0
57,36810.0,365,0.7514768435208588,1227897.9142792167,4.5,12.0,43.30601906776428,482.30576109478665,0,0
58,29200.0,365,0.7477194593032545,1405922.8205178457,16.5,9.0,44.072165966033936,476.4099428247433,0,0
59,46007.0,365,0.7439808620067382,1030378.7662142819,13.5,13.5,44.84132981300354,474.5412845885149,0,0
60,42868.0,365,0.7402609576967045,1509308.3331563035,10.5,10.5,45.608643770217896,475.68533918643976,0,0
61,27610.0,365,0.736559652908221,1187959.54310587,15.0,9.0,46.38138508796692,472.3443558877324,0,0
62,32895.0,365,0.7328768546436799,1105479.932861997,4.5,12.0,47.15424919128418,472.2693141437926,0,0
63,31322.0,365,0.7292124703704614,1674319.857113522,7.5,10.5,47.89515233039856,492.64199425081887,0,0
