episode,total_reward,episode_length,epsilon,avg_loss,final_risk,risk_reduction,training_time,steps_per_second,avg_reward_10,avg_reward_100
0,28974.0,365,1.0,5034.571424468225,13.5,10.5,2.241262197494507,0,0,0
1,34711.0,365,0.99,6675.720501290935,13.5,10.5,5.772872447967529,103.3522880819343,0,0
2,44603.0,365,0.9801,10735.311675105682,10.5,16.5,9.643489599227905,94.30020736645221,0,0
3,44873.0,365,0.970299,17800.12014160156,4.5,13.5,13.203349590301514,102.53212230684406,0,0
4,30381.0,365,0.96059601,22004.846609789704,16.5,10.5,16.689283847808838,104.70650707595368,0,0
5,42027.0,365,0.9509900498999999,37279.77821596747,13.5,15.0,20.216825246810913,103.47150003774776,0,0
6,27323.0,365,0.941480149401,45989.25014849101,4.5,9.0,23.740262508392334,103.59202474806587,0,0
7,30314.0,365,0.9320653479069899,43914.19617635648,15.0,10.5,27.235575437545776,104.4255571384283,0,0
8,45220.0,365,0.9227446944279201,51933.787358866655,4.5,15.0,30.777167081832886,103.06100664902354,0,0
9,36762.0,365,0.9135172474836408,53638.09873916417,21.0,12.0,34.754786014556885,91.76344093626798,0,0
10,37803.0,365,0.9043820750088044,60178.57836746843,13.5,12.0,38.597464084625244,94.9858388718748,0,0
11,49228.0,365,0.8953382542587164,73628.93923373288,7.5,16.5,42.664382219314575,89.74854863359134,0,0
12,37143.0,365,0.8863848717161292,81658.23998822774,10.5,13.5,46.68935203552246,90.68390985944927,0,0
13,26440.0,365,0.8775210229989678,100744.89275136452,18.0,9.0,51.2258825302124,80.45796240700608,0,0
14,49968.0,365,0.8687458127689782,95268.59606365048,13.5,13.5,55.229642391204834,91.16430871793736,0,0
15,31356.0,365,0.8600583546412884,100852.1384484696,10.5,10.5,59.52470898628235,84.98122017905818,0,0
16,35253.0,365,0.8514577710948755,115426.28080252033,4.5,10.5,63.792468309402466,85.52497279372166,0,0
17,39566.0,365,0.8429431933839268,125353.40426409995,10.5,13.5,67.6842474937439,93.78743826694411,0,0
18,27937.0,365,0.8345137614500875,147189.4597843536,10.5,9.0,71.79533219337463,88.78435417124457,0,0
19,31600.0,365,0.8261686238355866,114856.70969606165,13.5,15.0,75.86782240867615,89.62575247660273,0,0
20,31609.0,365,0.8179069375972308,130988.40066820955,7.5,12.0,79.8164975643158,92.43606668395933,0,0
21,37659.0,365,0.8097278682212584,115166.51668316567,13.5,13.5,83.7526342868805,92.73051871078663,0,0
22,30330.0,365,0.8016305895390459,128878.08955479453,12.0,12.0,87.64062523841858,93.87881930527804,0,0
23,29477.0,365,0.7936142836436554,135758.79175674228,4.5,9.0,91.34851288795471,98.4387970993842,0,0
24,22096.0,365,0.7856781408072188,137592.15517176798,21.0,7.5,95.23679280281067,93.8718425608825,0,0
25,39253.0,365,0.7778213593991467,145644.50486542165,4.5,13.5,99.30960988998413,89.6185593871858,0,0
26,33925.0,365,0.7700431458051551,152855.3447171982,18.0,10.5,103.19283032417297,93.99414897656821,0,0
27,25904.0,365,0.7623427143471035,131147.88547062286,21.0,9.0,107.14388418197632,92.38041624745858,0,0
28,25858.0,365,0.7547192872036326,130853.55245344606,22.5,9.0,111.20647120475769,89.84422929360656,0,0
29,35182.0,365,0.7471720943315961,123403.5359221158,4.5,12.0,114.99157500267029,96.43064483496848,0,0
30,32859.0,365,0.7397003733882802,137920.2453158444,13.5,12.0,118.91485834121704,93.0343206196272,0,0
31,31422.0,365,0.7323033696543975,117663.6286768247,7.5,10.5,122.97051072120667,89.99785134467906,0,0
32,39308.0,365,0.7249803359578534,122595.7092726616,13.5,13.5,127.46997165679932,81.12082874477132,0,0
33,36638.0,365,0.7177305325982749,126950.1433687393,15.0,12.0,131.5575716495514,89.294451670222,0,0
34,44984.0,365,0.7105532272722921,117133.13423052226,10.5,13.5,135.59549474716187,90.39300431848156,0,0
35,44740.0,365,0.7034476949995692,117557.7171406785,10.5,15.0,139.56290006637573,91.99967500984346,0,0
36,28037.0,365,0.6964132180495735,142035.73578633348,15.0,10.5,143.5234410762787,92.15912651512821,0,0
37,37902.0,365,0.6894490858690777,177545.76677413314,10.5,12.0,147.3346667289734,95.76971642755635,0,0
38,38979.0,365,0.682554595010387,137841.42875240796,21.0,12.0,151.04541397094727,98.36293775855336,0,0
39,25882.0,365,0.6757290490602831,116272.13557229238,16.5,10.5,154.76220512390137,98.20298880928469,0,0
40,41202.0,365,0.6689717585696803,138514.90926664168,7.5,13.5,158.50196647644043,97.59981068101791,0,0
41,30278.0,365,0.6622820409839835,117173.13170015518,7.5,10.5,162.42065238952637,93.14346903412962,0,0
42,24542.0,365,0.6556592205741436,120438.16402905608,7.5,7.5,166.31908679008484,93.62732894715678,0,0
43,38739.0,365,0.6491026283684022,103318.42225425407,13.5,12.0,170.09083914756775,96.77199492587678,0,0
44,23441.0,365,0.6426116020847181,87579.32209238548,10.5,4.5,173.90081071853638,95.80123977334672,0,0
45,49513.0,365,0.6361854860638709,99409.71928242722,10.5,16.5,177.6661500930786,96.93681331032057,0,0
46,35643.0,365,0.6298236312032323,104494.75361261237,7.5,12.0,181.47382974624634,95.85890443707505,0,0
47,36097.0,365,0.6235253948912,93081.40517511238,4.5,10.5,185.39150190353394,93.16757128873896,0,0
48,21481.0,365,0.617290140942288,88717.5470268354,7.5,9.0,189.25733280181885,94.4169596662734,0,0
49,36315.0,365,0.611117239532865,77861.18612545484,10.5,10.5,193.1184024810791,94.53338849609435,0,0
50,36585.0,365,0.6050060671375364,101595.98728060788,12.0,13.5,196.9611701965332,94.98362301008032,0,0
51,34815.0,365,0.598956006466161,76064.42226495613,18.0,10.5,200.86504864692688,93.49676344641122,0,0
52,40910.0,365,0.5929664464014994,69987.1535838506,18.0,15.0,204.78156638145447,93.19503312399183,0,0
53,34089.0,365,0.5870367819374844,77049.05339054474,15.0,12.0,208.67454957962036,93.75843188122747,0,0
54,20937.0,365,0.5811664141181095,82504.2004274133,22.5,7.5,212.71327829360962,90.37497337608272,0,0
55,35523.0,365,0.5753547499769285,89653.13967786815,4.5,12.0,216.55165648460388,95.09224517176962,0,0
56,30802.0,365,0.5696012024771592,90232.63420978702,7.5,10.5,220.48343539237976,92.83329723300044,0,0
57,37458.0,365,0.5639051904523875,80993.04133668664,4.5,12.0,224.26761198043823,96.45427254949239,0,0
58,30913.0,365,0.5582661385478637,101000.47410704731,15.0,10.5,228.10926413536072,95.01120488806066,0,0
59,46601.0,365,0.5526834771623851,88973.2303042059,13.5,13.5,232.19346952438354,89.36866911272762,0,0
60,43820.0,365,0.5471566423907612,87892.14123434825,10.5,10.5,236.0603461265564,94.39142686759165,0,0
61,27647.0,365,0.5416850759668536,83914.01071677012,15.0,9.0,240.04009556770325,91.71431654119849,0,0
62,34568.0,365,0.536268225207185,70787.33685821116,4.5,12.0,244.3403606414795,84.87848859035056,0,0
63,32715.0,365,0.5309055429551132,67245.00028193225,7.5,10.5,248.73042631149292,83.14226424746936,0,0
64,28949.0,365,0.525596487525562,60828.61967104559,21.0,4.5,252.81454610824585,89.37054204193335,0,0
65,25888.0,365,0.5203405226503064,52570.60721151274,4.5,9.0,256.8454501628876,90.55040632378487,0,0
66,33547.0,365,0.5151371174238033,48943.618395159996,13.5,10.5,260.877037525177,90.53505907229713,0,0
67,45888.0,365,0.5099857462495653,43631.795216181505,10.5,15.0,264.59064960479736,98.28705642225118,0,0
68,29615.0,365,0.5048858887870696,50122.297161948845,7.5,12.0,268.266898393631,99.28598986789612,0,0
69,31772.0,365,0.4998370298991989,60645.60895828874,15.0,10.5,271.9348442554474,99.51073809449524,0,0
70,48433.0,365,0.49483865960020695,52372.40672155929,4.5,15.0,276.03279733657837,89.06885773793798,0,0
71,43406.0,365,0.4898902730042049,51731.98590940711,13.5,16.5,279.7290596961975,98.74840162525943,0,0
72,27403.0,365,0.48499137027416284,61415.67775778574,10.5,12.0,283.4146785736084,99.03357133236982,0,0
73,24663.0,365,0.4801414565714212,56710.67759457941,18.0,10.5,287.1246118545532,98.38451863130108,0,0
74,32610.0,365,0.47534004200570695,53851.83442951359,10.5,10.5,290.90394115448,96.57798276722635,0,0
75,38573.0,365,0.4705866415856499,53989.08741103917,16.5,12.0,294.6070830821991,98.56495028393772,0,0
76,35302.0,365,0.46588077516979337,73338.42754240689,12.0,10.5,298.2675771713257,99.71331495500131,0,0
77,32577.0,365,0.46122196741809546,70741.58012093321,10.5,10.5,301.9896092414856,98.06471118995981,0,0
78,50709.0,365,0.4566097477439145,84672.55944556667,18.0,18.0,305.71634125709534,97.9410374749689,0,0
79,30693.0,365,0.45204365026647536,52880.810073309076,4.5,9.0,309.4114942550659,98.77804794563636,0,0
80,35195.0,365,0.4475232137638106,75905.36842224956,13.5,12.0,313.14515137672424,97.75937856818602,0,0
81,40218.0,365,0.4430479816261725,75792.41699285638,12.0,10.5,316.883428812027,97.6385531349525,0,0
82,28324.0,365,0.43861750180991077,77518.54471385381,12.0,10.5,320.5755853652954,98.85821327833149,0,0
83,48815.0,365,0.43423132679181164,73018.3465960777,12.0,15.0,324.295152425766,98.1297000607974,0,0
84,26105.0,365,0.4298890135238935,78077.11280801852,7.5,4.5,327.99030590057373,98.77803519892801,0,0
85,27573.0,365,0.4255901233886546,68500.73970997431,10.5,6.0,331.6953749656677,98.51368316955795,0,0
86,24352.0,365,0.421334222154768,70528.96264648438,18.0,7.5,335.3911554813385,98.76127612349654,0,0
87,51225.0,365,0.41712087993322033,58538.77985672624,7.5,12.0,339.11736941337585,97.95465495466915,0,0
88,40038.0,365,0.41294967113388814,56151.16563837757,13.5,12.0,342.81061697006226,98.82901007791627,0,0
89,32739.0,365,0.40882017442254925,56029.94841944028,13.5,10.5,346.5077188014984,98.72597960284313,0,0
90,33188.0,365,0.4047319726783238,51373.791191540025,7.5,12.0,350.22591853141785,98.16578627095669,0,0
91,36064.0,365,0.40068465295154054,57057.04947091717,12.0,10.5,353.92180132865906,98.75854295824911,0,0
92,44769.0,365,0.3966778064220251,55566.28410611087,21.0,15.0,357.6217336654663,98.6504527039449,0,0
93,26066.0,365,0.39271102835780486,43985.38121521832,10.5,9.0,361.36070823669434,97.62034831922367,0,0
94,30888.0,365,0.3887839180742268,51628.23821202108,18.0,9.0,365.07948756217957,98.15048650470123,0,0
95,39542.0,365,0.38489607889348454,50370.53364659139,10.5,10.5,368.82176399230957,97.53421662314777,0,0
96,29742.0,365,0.38104711810454966,45266.517749023435,9.0,9.0,372.50689220428467,99.04675740016464,0,0
