episode,total_reward,episode_length,epsilon,avg_loss,final_risk,risk_reduction,training_time,steps_per_second,avg_reward_10,avg_reward_100
0,28866.0,365,1.0,1341.563315587328,13.5,10.5,0.9680194854736328,0,0,0
1,34632.0,365,0.98,1379.0025824559877,13.5,10.5,2.0768790245056152,329.16702896260375,0,0
2,44878.0,365,0.9603999999999999,1326.0820064178886,10.5,16.5,3.1941537857055664,326.6877698087359,0,0
3,44622.0,365,0.9411919999999999,2129.251133247271,4.5,13.5,4.350799560546875,315.5676594678071,0,0
4,30406.0,365,0.9223681599999999,2330.418104950369,16.5,10.5,5.577072858810425,297.6497983906639,0,0
5,43259.0,365,0.9039207967999999,2375.1229757230576,13.5,15.0,6.7814555168151855,303.059827019327,0,0
6,27350.0,365,0.8858423808639999,4126.680855528949,4.5,9.0,8.002384185791016,298.95276380574995,0,0
7,28881.0,365,0.8681255332467199,4779.028704750374,13.5,12.0,9.214919328689575,301.0222030575289,0,0
8,45884.0,365,0.8507630225817855,4378.759439212329,4.5,15.0,10.429999589920044,300.3916791721869,0,0
9,37607.0,365,0.8337477621301498,5917.92732268033,21.0,12.0,11.677790641784668,292.5169237706633,0,0
10,37495.0,365,0.8170728068875467,6892.295304306239,13.5,12.0,12.984087228775024,279.41587204246025,0,0
11,50020.0,365,0.8007313507497958,7371.180339823683,7.5,16.5,14.212872743606567,297.0412619569646,0,0
12,37773.0,365,0.7847167237347998,7680.126937071917,10.5,13.5,15.452331781387329,294.48330995555017,0,0
13,26491.0,365,0.7690223892601038,8817.194885588346,18.0,9.0,16.766988039016724,277.639115078015,0,0
14,49621.0,365,0.7536419414749017,9456.534860772956,13.5,13.5,18.11039924621582,271.6964083997746,0,0
15,31753.0,365,0.7385691026454038,9452.365929005244,10.5,10.5,19.42625665664673,277.3856780427845,0,0
16,35408.0,365,0.7237977205924956,10084.992134993043,4.5,10.5,20.730814695358276,279.7882418175076,0,0
17,38205.0,365,0.7093217661806457,10909.62619796126,10.5,13.5,22.010648727416992,285.19322885395394,0,0
18,28087.0,365,0.6951353308570327,10841.572275490957,10.5,9.0,23.414307355880737,260.0347353682994,0,0
19,32472.0,365,0.6812326242398921,12553.223078145067,13.5,15.0,24.755885124206543,272.0677165480271,0,0
20,32300.0,365,0.6676079717550942,9772.543506528253,7.5,12.0,26.289676666259766,237.97236455704387,0,0
21,36647.0,365,0.6542558123199923,9803.14563974877,13.5,13.5,27.993073225021362,214.27776058521704,0,0
22,33382.0,365,0.6411706960735924,11103.035868772742,12.0,12.0,29.652806997299194,219.9147875981767,0,0
23,29916.0,365,0.6283472821521207,13232.633089415667,4.5,9.0,31.10852551460266,250.73528684385772,0,0
24,23037.0,365,0.6157803365090783,15306.445753625321,21.0,7.5,32.50639295578003,261.1120262537734,0,0
25,38626.0,365,0.6034647297788966,13237.668212221746,4.5,13.5,33.708142042160034,303.72396712152226,0,0
26,32157.0,365,0.5913954351833187,18044.663171553937,18.0,10.5,35.75045657157898,178.71879905973415,0,0
27,24945.0,365,0.5795675264796523,13184.948895012842,21.0,9.0,37.7055447101593,186.69235048658368,0,0
28,26430.0,365,0.5679761759500592,12719.613096639554,21.0,10.5,39.50812292098999,202.48774661033752,0,0
29,36721.0,365,0.5566166524310581,16328.622281009204,4.5,12.0,41.1425199508667,223.3239496449243,0,0
30,34019.0,365,0.5454843193824369,15300.53511762227,13.5,12.0,42.54586124420166,260.0935365712771,0,0
31,33050.0,365,0.5345746329947881,17134.16005825931,4.5,13.5,43.89991784095764,269.5603720512561,0,0
32,37917.0,365,0.5238831403348924,11892.268125434772,13.5,13.5,45.16736817359924,287.97972638444327,0,0
33,36720.0,365,0.5134054775281945,15907.469189118685,13.5,13.5,46.50018906593323,273.8552509938722,0,0
34,45240.0,365,0.5031373679776306,17258.9394872378,10.5,13.5,48.46559762954712,185.7120228116117,0,0
35,44072.0,365,0.493074620618078,18091.96931553671,10.5,15.0,49.946861267089844,246.4112334557137,0,0
36,31372.0,365,0.48321312820571644,21411.5990993552,15.0,10.5,51.64796257019043,214.56688048778574,0,0
37,39653.0,365,0.4735488656416021,18724.902429031998,10.5,12.0,52.834354400634766,307.6555237769107,0,0
38,38991.0,365,0.46407788832877,20063.016652062823,21.0,12.0,54.323294162750244,245.14087761442394,0,0
39,26143.0,365,0.45479633056219465,19244.25213271886,16.5,10.5,55.58823609352112,288.55079519544717,0,0
