episode,total_reward,episode_length,epsilon,avg_loss,final_risk,risk_reduction,training_time,steps_per_second,avg_reward_10,avg_reward_100
0,28923.0,365,1.0,6608.947780179662,13.5,10.5,0.7147214412689209,0,0,0
1,35252.0,365,0.995,13901.798230147688,13.5,10.5,1.6403536796569824,394.32507302860125,0,0
2,43783.0,365,0.990025,5351.259590044414,10.5,16.5,2.5824036598205566,387.4529034400305,0,0
3,44961.0,365,0.985074875,8871.750324740475,4.5,13.5,3.550316333770752,377.10013498467873,0,0
4,30205.0,365,0.980149500625,13228.770026888913,16.5,10.5,4.5736565589904785,356.6751223148968,0,0
5,42768.0,365,0.975248753121875,15489.499349515732,13.5,15.0,5.615024566650391,350.5004929239203,0,0
6,27624.0,365,0.9703725093562656,19672.76202041417,4.5,9.0,6.672480344772339,345.1680983277084,0,0
7,28277.0,365,0.9655206468094842,27730.514344097817,15.0,10.5,7.727963209152222,345.8132882284591,0,0
8,46031.0,365,0.9606930435754368,28718.15145648277,4.5,15.0,8.782509088516235,346.1205502221752,0,0
9,36665.0,365,0.9558895783575596,34145.35243973405,21.0,12.0,9.865796327590942,336.93741312024116,0,0
10,37754.0,365,0.9511101304657719,47177.49706295484,13.5,12.0,11.03740406036377,311.5377184615876,0,0
11,49240.0,365,0.946354579813443,63767.57616083851,7.5,16.5,12.15238618850708,327.3595071947969,0,0
12,36215.0,365,0.9416228069143757,65165.31598485659,10.5,13.5,13.332572937011719,309.2730878926365,0,0
13,25600.0,365,0.9369146928798039,62809.18772741866,18.0,9.0,14.486304998397827,316.3646155082874,0,0
14,47773.0,365,0.9322301194154049,77561.65581690121,13.5,13.5,15.637913703918457,316.94793400766054,0,0
15,30914.0,365,0.9275689688183278,107145.23017678456,10.5,10.5,16.83985924720764,303.6743237144997,0,0
16,34529.0,365,0.9229311239742362,96020.91763966181,4.5,10.5,18.08299231529236,293.61297625390335,0,0
17,37869.0,365,0.918316468354365,114387.51408089415,10.5,13.5,19.344966173171997,289.22944617352925,0,0
18,27233.0,365,0.9137248860125932,154478.99879936324,10.5,9.0,20.602837562561035,290.17274983675753,0,0
19,32440.0,365,0.9091562615825302,141697.4249394665,13.5,15.0,21.907054662704468,279.861381943128,0,0
20,29674.0,365,0.9046104802746175,165817.76448255565,7.5,12.0,23.245442867279053,272.71609145421115,0,0
21,35207.0,365,0.9000874278732445,135023.46788647794,13.5,13.5,24.587749242782593,271.9200375272578,0,0
22,30124.0,365,0.8955869907338783,159501.4011735472,12.0,12.0,25.957693099975586,266.4342761811297,0,0
23,29647.0,365,0.8911090557802088,236914.92513511344,4.5,9.0,27.37138342857361,258.189500639773,0,0
24,22578.0,365,0.8866535105013078,203886.83401380564,21.0,7.5,28.638784646987915,287.9908861510053,0,0
25,38231.0,365,0.8822202429488012,235174.39908597764,4.5,13.5,29.94302749633789,279.85585673857685,0,0
26,32355.0,365,0.8778091417340572,267336.2523454222,18.0,10.5,31.268815755844116,275.3079139016814,0,0
27,26368.0,365,0.873420096025387,235562.12511738818,21.0,9.0,32.66197347640991,261.9947437478683,0,0
28,23798.0,365,0.86905299554526,245655.0767765411,22.5,9.0,33.97715163230896,277.52894036662906,0,0
29,35411.0,365,0.8647077305675337,272669.3253157106,4.5,12.0,35.30431032180786,275.0236297196788,0,0
30,33942.0,365,0.8603841919146961,297652.1285336847,13.5,12.0,36.703246116638184,260.9126175403004,0,0
31,31116.0,365,0.8560822709551226,252322.85594566033,7.5,10.5,38.02743935585022,275.63952842501595,0,0
32,35688.0,365,0.8518018596003469,277811.38636290666,13.5,13.5,39.36300277709961,273.2928996052847,0,0
33,35097.0,365,0.8475428503023452,345375.02172115794,15.0,12.0,40.71770715713501,269.4314755153165,0,0
34,44018.0,365,0.8433051360508335,365731.2418276434,10.5,13.5,42.0859808921814,266.7594872656281,0,0
35,44926.0,365,0.8390886103705792,278138.5212736783,10.5,15.0,43.44253158569336,269.064769747052,0,0
36,26683.0,365,0.8348931673187264,455164.28334091394,15.0,10.5,44.76458549499512,276.08556461421045,0,0
37,37665.0,365,0.8307187014821328,443017.4809523491,10.5,12.0,46.08201217651367,277.05526624014965,0,0
38,38391.0,365,0.826565107974722,433163.6949921072,21.0,12.0,47.3625762462616,285.03064284151685,0,0
39,23417.0,365,0.8224322824348484,353351.7421988709,18.0,9.0,48.561124086380005,304.5351948270505,0,0
40,40958.0,365,0.8183201210226743,524429.1430757706,7.5,13.5,49.771384954452515,301.58787219263536,0,0
41,29138.0,365,0.8142285204175609,479821.96270066354,7.5,10.5,50.9848837852478,300.783149301257,0,0
42,24147.0,365,0.810157377815473,547703.744949968,7.5,7.5,52.179858684539795,305.44574636359135,0,0
43,37809.0,365,0.8061065909263957,517428.209793049,13.5,12.0,53.338213205337524,315.10215002971086,0,0
44,22765.0,365,0.8020760579717637,556278.9326339095,10.5,4.5,54.466158866882324,323.597148731533,0,0
45,48527.0,365,0.7980656776819048,636264.3617983465,10.5,16.5,55.587621212005615,325.4679049967324,0,0
46,34382.0,365,0.7940753492934953,746960.8297436858,9.0,10.5,56.73529291152954,318.0352013135885,0,0
47,35969.0,365,0.7901049725470278,676313.0169393461,4.5,10.5,57.86938214302063,321.8441634615486,0,0
48,20790.0,365,0.7861544476842928,594080.2505096854,7.5,9.0,58.961759090423584,334.1337446453449,0,0
49,37006.0,365,0.7822236754458712,921465.6530594499,10.5,10.5,60.039154052734375,338.7801249944124,0,0
50,34956.0,365,0.7783125570686419,721314.990938704,12.0,13.5,61.080872535705566,350.38257069121624,0,0
