learning_rate,n_steps,gamma,gae_lambda,run,final_risk,train_time_minutes,model_path,ent_coef
0.0007,5,0.99,1.0,0,9.086,3.96,models/a2c/a2c_heart_run_0,
0.0005,8,0.995,0.95,1,9.086,3.11,models/a2c/a2c_heart_run_1,
0.001,5,0.99,,2,9.086,3.69,models/a2c/a2c_heart_run_2,0.01
0.0003,10,0.99,0.98,3,12.494,2.79,models/a2c/a2c_heart_run_3,
0.0007,5,0.999,,4,12.494,3.84,models/a2c/a2c_heart_run_4,0.0
0.0005,16,0.99,0.9,5,12.494,2.34,models/a2c/a2c_heart_run_5,
0.001,5,0.995,,6,9.086,3.35,models/a2c/a2c_heart_run_6,0.005
0.0004,8,0.99,1.0,7,9.494,2.5,models/a2c/a2c_heart_run_7,
0.0007,10,0.99,,8,12.287,2.3,models/a2c/a2c_heart_run_8,0.02
0.0006,5,0.997,0.97,9,9.086,3.09,models/a2c/a2c_heart_run_9,
