learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,n_epochs,run,final_risk,train_time_minutes,model_path
0.0003,2048,64,0.99,0.95,0.2,0.0,10,0,9.926,2.82,models/ppo/ppo_heart_run_0
0.0005,2048,128,0.995,0.95,0.2,0.01,10,1,9.926,2.3,models/ppo/ppo_heart_run_1
0.0002,4096,256,0.99,0.98,0.15,0.0,10,2,13.926,1.82,models/ppo/ppo_heart_run_2
0.001,1024,64,0.99,0.92,0.2,0.005,10,3,9.727,3.46,models/ppo/ppo_heart_run_3
0.0003,3072,96,0.997,0.95,0.25,0.01,8,4,9.603,2.32,models/ppo/ppo_heart_run_4
0.0008,1024,128,0.99,0.95,0.2,0.0,12,5,9.727,2.83,models/ppo/ppo_heart_run_5
0.00025,2048,128,0.995,0.97,0.1,0.02,10,6,13.526,2.32,models/ppo/ppo_heart_run_6
0.0004,2048,64,0.99,0.9,0.3,0.005,10,7,9.926,3.43,models/ppo/ppo_heart_run_7
0.0003,2048,192,0.999,0.95,0.2,0.0,15,8,12.727,3.17,models/ppo/ppo_heart_run_8
0.0006,1536,96,0.99,0.96,0.18,0.01,10,9,10.861,4.06,models/ppo/ppo_heart_run_9
